0000000000000000000 core-0   :00010074 (00003197) auipc       gp, pc + 12288     
0000000000000000001 core-0   :00010078 (cc418193) addi        gp, gp, -828       
0000000000000000002 core-0   :0001007c (80c18513) addi        a0, gp, -2036      
0000000000000000003 core-0   :00010080 (83418613) addi        a2, gp, -1996      
0000000000000000004 core-0   :00010084 (40a60633) sub         a2, a2, a0         
0000000000000000005 core-0   :00010088 (00000593) mv          a1, zero           
0000000000000000006 core-0   :0001008c (76c000ef) jal         ra, pc + 1900      
0000000000000000007 core-0   :000107f8 (00f00813) addi        a6, zero, 15       
0000000000000000008 core-0   :000107fc (00050713) mv          a4, a0             
0000000000000000009 core-0   :00010800 (02c87e63) bleu        a2, a6, pc + 60    
0000000000000000010 core-0   :00010804 (00f77793) andi        a5, a4, 15         
0000000000000000011 core-0   :00010808 (0a079063) bnez        a5, pc + 160       
0000000000000000012 core-0   :000108a8 (00279693) slli        a3, a5, 2          
0000000000000000013 core-0   :000108ac (00000297) auipc       t0, pc + 0         
0000000000000000014 core-0   :000108b0 (005686b3) add         a3, a3, t0         
0000000000000000015 core-0   :000108b4 (00008293) mv          t0, ra             
0000000000000000016 core-0   :000108b8 (fa0680e7) jalr        ra, a3, -96        
0000000000000000017 core-0   :0001085c (00b705a3) sb          a1, 11(a4)         
0000000000000000018 core-0   :00010860 (00b70523) sb          a1, 10(a4)         
0000000000000000019 core-0   :00010864 (00b704a3) sb          a1, 9(a4)          
0000000000000000020 core-0   :00010868 (00b70423) sb          a1, 8(a4)          
0000000000000000021 core-0   :0001086c (00b703a3) sb          a1, 7(a4)          
0000000000000000022 core-0   :00010870 (00b70323) sb          a1, 6(a4)          
0000000000000000023 core-0   :00010874 (00b702a3) sb          a1, 5(a4)          
0000000000000000024 core-0   :00010878 (00b70223) sb          a1, 4(a4)          
0000000000000000025 core-0   :0001087c (00b701a3) sb          a1, 3(a4)          
0000000000000000026 core-0   :00010880 (00b70123) sb          a1, 2(a4)          
0000000000000000027 core-0   :00010884 (00b700a3) sb          a1, 1(a4)          
0000000000000000028 core-0   :00010888 (00b70023) sb          a1, 0(a4)          
0000000000000000029 core-0   :0001088c (00008067) ret                            
0000000000000000030 core-0   :000108bc (00028093) mv          ra, t0             
0000000000000000031 core-0   :000108c0 (ff078793) addi        a5, a5, -16        
0000000000000000032 core-0   :000108c4 (40f70733) sub         a4, a4, a5         
0000000000000000033 core-0   :000108c8 (00f60633) add         a2, a2, a5         
0000000000000000034 core-0   :000108cc (f6c878e3) bleu        a2, a6, pc - 144   
0000000000000000035 core-0   :000108d0 (f3dff06f) j           pc - 196           
0000000000000000036 core-0   :0001080c (08059263) bnez        a1, pc + 132       
0000000000000000037 core-0   :00010810 (ff067693) andi        a3, a2, -16        
